streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers,contenido principal
BobbyPoffGaming,/bobbypoffgaming,1982,276.6,29145,5627,407972,Call of Duty: Warzone
Lobanjicaa,/lobanjicaa,4094,76.3,20952,21492,531449,Counter-Strike
5opka,/5opka,3174,130.4,10482,26362,610231,Just Chatting
番田長助,/banda_chosuke,3110,135.1,29392,9929,109387,Grand Theft Auto V
cindelez,/cindelez,921,719.9,3155,89,491,Variety
aXtLOL,/axtlol,2502,194.9,50764,2148,891982,League of Legends
Lux_Grlx,/lux_grlx,5747,21.7,7110,477,1305,Casino
PlayOverwatch,/playoverwatch,6478,6.6,224005,724,700393,Overwatch
LuanZ7_,/luanz7_,2699,170.9,18383,6643,552366,Grand Theft Auto V
Xop0,/xop0,1042,618.5,7281,29,148362,Just Chatting
KOI,/koi,6314,9.3,51381,267,275876,League of Legends
依渟,/et_1231,2282,220.9,15511,4602,399241,Just Chatting
OniGiri,/onigiri,4156,71.1,18179,10526,193585,Just Chatting
AlphaCast,/alphacast,3095,133.2,52543,1573,621073,Overwatch
FRG_RX,/frg_rx,6055,13.6,6159,4,781,Casino
HusKerrs,/huskerrs,2403,202.4,40962,3593,1184989,Call of Duty: Warzone
LVTHalo,/lvthalo,4378,60.6,25991,3600,66326,Halo Infinite
jujalag,/jujalag,3055,134.6,15879,8261,505410,Just Chatting
Rakin,/rakin,2141,239.2,52992,-1811,1645257,League of Legends
PapeSan,/papesan,4887,42.4,32507,6162,424509,Just Chatting
Genburten,/genburten,2222,226.0,11638,15795,494077,Apex Legends
titanlol1,/titanlol1,5450,26.1,16664,3969,328651,League of Legends
Kxpture,/kxpture,2723,163.4,5501,14725,383831,Call of Duty: Warzone
iskall85,/iskall85,5006,38.2,15856,16821,706844,Minecraft
MesutCanErayy,/mesutcanerayy,4682,48.5,22652,5912,83060,Casino Jackpot
Tomato,/tomato,4021,74.5,9319,539,159204,Minecraft
Popo,/popo,4255,64.2,44378,1107,457703,Just Chatting
Joe_Bartolozzi,/joe_bartolozzi,3487,102.3,15915,25653,1516772,Just Chatting
Lazvell,/lazvell,5417,26.2,28997,4980,332197,VALORANT
gon_vl,/gon_vl,6119,10.3,10898,4529,120028,VALORANT
frametamer666,/frametamer666,4021,73.7,58858,18009,1123565,Just Chatting
LightFuryLF,/lightfurylf,2312,209.7,26832,697,112623,Dota 2
KmSenKangoo,/kmsenkangoo,3795,84.1,30164,10301,485685,Just Chatting
Acie,/acie,2074,245.1,21244,2406,276062,Apex Legends
Felps,/felps,2913,142.1,27059,6170,1454741,Just Chatting
西南69,/kr1stw,2776,154.6,11351,287,69210,Grand Theft Auto V
Twitch,/twitch,5994,11.8,517160,3001,2313963,Talk Shows & Podcasts
哈耿,/ennaouii,3955,74.9,22610,7968,100561,Dead by Daylight
FRG_OL,/frg_ol,3900,77.3,4109,122,1204,Casino
고라니율,/golaniyule0,5020,35.2,16612,6311,316361,Just Chatting
Tixinhadois,/tixinhadois,2126,233.8,39285,8257,465386,VALORANT
Sharkmacedo,/sharkmacedo,3523,97.0,7395,12276,113259,FIFA 21
Strippin,/strippin,2430,190.1,17818,932,329007,League of Legends
FRG_stm,/frg_stm,5983,11.2,7175,5,1281,Casino
tioorochitwitch,/tioorochitwitch,5515,21.5,39634,5854,1512045,Just Chatting
bao,/bao,3174,119.1,22711,12464,505726,Just Chatting
fnmoneymaker,/fnmoneymaker,2754,154.2,18355,98150,508177,Fortnite
Silky,/silky,4655,45.6,16129,3742,439100,Just Chatting
Putupau,/putupau,2387,194.4,21928,2687,440238,Genshin Impact
aspaszin,/aspaszin,5442,22.9,31319,11683,714108,VALORANT
twitchmedia43,/twitchmedia43,5220,28.5,5735,1,72,Dota 2
Deadlyslob,/deadlyslob,2768,152.1,104568,186,413183,Escape from Tarkov
IAM_XQ,/iam_xq,2210,218.5,11601,11713,161183,Overwatch
IQ200YukaF,/iq200yukaf,2537,175.6,9499,10905,140907,Apex Legends
by_Owl,/by_owl,3123,121.6,27558,8454,508201,Just Chatting
猫麦とろろ,/tororo_vtuber,2275,208.2,16031,6130,474544,Escape from Tarkov
orkpod,/orkpod,2787,149.5,10037,4473,240840,World of Warcraft
DVM_Medja,/dvm_medja,3259,111.7,59867,10202,344428,Grand Theft Auto V
aXoZer,/axozer,2217,216.0,557151,19096,2876766,Just Chatting
Santutu,/santutu,5350,24.5,27360,10860,736437,Just Chatting
PimentoIa,/pimentoia,966,639.0,5265,133,10138,Virtual Casino
unsympathisch_tv,/unsympathisch_tv,5364,24.0,37982,4493,1190466,Just Chatting
FRG_RV,/frg_rv,5651,17.0,7097,14,1291,Casino
agustin51,/agustin51,3770,80.8,33345,18422,1054695,Fortnite
MLS,/mls,5971,10.0,63555,483,46245,Sports
VEGETTA777,/vegetta777,4589,46.1,66389,40077,2397695,Counter-Strike
TheRunningManZ,/therunningmanz,2824,144.1,10645,2608,342074,DayZ
SMii7Y,/smii7y,5238,26.4,22668,24056,1268346,Call of Duty: Warzone
Manyrin,/manyrin,3358,102.5,29524,1489,537672,Just Chatting
MrChoco,/mrchoco,2322,197.4,21720,5933,172386,Dota 2
Bawkbasoup,/bawkbasoup,2035,240.8,23018,1137,180654,Resident Evil 3: Nemesis
LCS_Challengers,/lcs_challengers,2939,132.5,187007,3497,352932,League of Legends
ManuuXO,/manuuxo,2862,138.8,11154,4046,312971,Just Chatting
Steelmage,/steelmage,3253,108.4,27882,3651,162933,Path of Exile
FargoBossx,/fargobossx,6079,6.2,6167,6,780,Casino
NAKOO_Fn,/nakoo_fn,2937,131.3,35326,12843,789708,Fortnite
Ebonivon,/ebonivon,4711,39.8,13613,13886,651852,Just Chatting
omie,/omie,3577,87.2,22877,4613,255024,Grand Theft Auto V
ESL_Dota2Earth,/esl_dota2earth,4660,41.1,61604,5116,103564,Dota 2
RTP Arena CS:GO,/rtparenacsgo,2605,161.2,56288,2400,230997,Counter-Strike
TooseFN,/toosefn,3708,79.9,18759,15790,606217,Fortnite
ゆふな,/yufuna,2029,237.9,24456,2030,187703,Apex Legends
mazzatomas,/mazzatomas,3833,73.3,28514,50511,593771,Just Chatting
ととみっくす,/tototmix,2507,170.6,13414,15896,78274,Grand Theft Auto V
UniversoReality_02,/universoreality_02,5602,14.9,11811,2364,36159,Just Chatting
Grimmmz,/grimmmz,1884,261.9,26085,4349,1052619,Escape from Tarkov
jasontheween,/jasontheween,2888,132.2,8255,11010,234180,Just Chatting
oozie,/oozie,1767,285.3,9688,24029,176345,Tom Clancy's Rainbow Six Siege
懶貓,/failverde,1469,365.5,24430,3995,285331,Just Chatting
The_Happy_Hob,/the_happy_hob,2608,156.9,24909,624,334787,DARK SOULS III
zwebackhd,/zwebackhd,3016,120.5,12161,2033,366582,FIFA 23
Aenot,/aenot,2314,190.2,13178,5902,155926,Grand Theft Auto V
SheefGG,/sheefgg,1776,281.2,47501,8302,128306,Escape from Tarkov
maxim,/maxim,2997,121.1,21262,1928,474002,Teamfight Tactics
agurin,/agurin,2174,208.9,28222,2539,380530,League of Legends
coscu,/coscu,3566,83.8,425659,2533,3869238,League of Legends
괴물쥐123,/tmxk319,2715,144.5,73569,-51,924349,League of Legends
ElmiilloR,/elmiillor,3317,97.8,47655,105,848644,League of Legends
Im_Dontai,/im_dontai,2991,120.5,46789,6944,1829691,Just Chatting
한동숙,/handongsuk,2152,210.7,166223,-1224,656281,League of Legends
Mathil1,/mathil1,2255,195.7,28388,1079,370904,Path of Exile
AdmiralBulldog,/admiralbulldog,3187,105.7,56253,-145,788980,Dota 2
betboom_cs_a,/betboom_cs_a,3077,113.4,32978,10012,275266,Counter-Strike
forg1,/forg1,2012,231.6,46026,1929,202818,Counter-Strike
AnthonyZ,/anthonyz,2838,131.8,32911,1523,615402,Grand Theft Auto V
paivinha29,/paivinha29,3008,118.0,9994,6459,268923,FIFA 22
BanduraCartel,/banduracartel,4483,42.6,23581,18291,461350,Just Chatting
Limmy,/limmy,3197,104.3,6696,2029,472010,Just Chatting
aypierre,/aypierre,3842,68.2,17055,2024,470027,Minecraft
Mortdog,/mortdog,3736,73.1,15598,3087,262457,Teamfight Tactics
Pestily,/pestily,3347,94.1,244422,570,1357103,Escape from Tarkov
Carola,/carola,3396,91.0,79320,9905,1724231,Just Chatting
Nadia,/nadia,4511,40.8,31095,-2981,1165715,Call of Duty: Warzone
lydiaviolet,/lydiaviolet,4617,37.2,8081,1910,337707,Just Chatting
DMITRY_BALE,/dmitry_bale,1967,236.8,15303,4875,129457,Escape from Tarkov
Twitchmedia13,/twitchmedia13,4496,40.8,5520,1,152,Rocket League
yeTz,/yetz,2848,127.9,30556,2960,920578,League of Legends
FuuRy_Off,/fuury_off,3365,91.1,17255,14708,307293,Rocket League
ForexNowTV,/forexnowtv,5039,23.6,6119,7,58,Just Chatting
TFToddy,/tftoddy,2460,163.8,11484,1416,95797,Teamfight Tactics
robinsongz,/robinsongz,3298,93.2,13193,2915,130214,Teamfight Tactics
Kaysan,/kaysan,4379,42.8,17550,4836,206119,Grand Theft Auto V
dota2_paragon_ru4,/dota2_paragon_ru4,4488,39.0,33634,7227,36489,Dota 2
n3koglai,/n3koglai,5472,11.6,543743,-4511,2595574,Just Chatting
Poloteli,/poloteli,2319,177.8,19620,1698,151933,Just Chatting
fobm4ster,/fobm4ster,2146,200.3,6022,3418,144058,Genshin Impact
Giantwaffle,/giantwaffle,2252,184.9,36922,-236,855919,Minecraft
PeachJars,/peachjars,4233,46.3,11770,9608,150514,Just Chatting
blau,/blau,2288,179.9,36147,4089,452266,Grand Theft Auto V
Sabeky,/sabeky,4806,27.5,6559,2,3,Casino
unicornio,/unicornio,4554,35.0,25184,18581,1162378,Just Chatting
SKILLZ0R1337,/skillz0r1337,3078,104.2,30904,4929,279320,Just Chatting
NBA2KLeague,/nba2kleague,4874,24.5,194136,993,232232,NBA 2K22
BigBossBoze,/bigbossboze,5050,19.8,13809,3377,326713,Just Chatting
一ノ瀬うるは,/uruhaichinose,4171,46.6,11764,5101,236137,VALORANT
HimoHuk,/himohuk,4076,50.0,3921,6,6,Casino
twitchmedia4,/twitchmedia4,4382,38.6,320,0,177,Variety
DreadzTV,/dreadztv,2851,118.9,51454,328,698517,Dota 2
Criticas_QLS,/criticas_qls,4431,36.8,30790,6917,292127,Just Chatting
spokoynich_,/spokoynich_,4206,44.5,17102,16535,215597,Dota 2
しんじさん,/shinjifromjapanxd,2738,127.5,23665,2428,153744,Just Chatting
cameliaaa92,/cameliaaa92,4181,45.1,72957,7966,501266,Grand Theft Auto V
helydia,/helydia,2758,125.6,6556,57813,318674,VALORANT
PietSmiet,/pietsmiet,3236,90.5,125743,812,788450,Just Chatting
さくらみこ,/sakuramiko_hololive,5274,12.4,17284,3918,317322,Watch Parties
AlveusSanctuary,/alveussanctuary,783,719.8,11846,7428,165171,"Animals, Aquariums, and Zoos"
接接,/godjj,3881,56.5,23192,148,371924,League of Legends
赤鬼伯伯,/akaonikou1207,3306,85.1,23628,13922,395755,Just Chatting
花輪同學,/gearbaby1010,2527,145.6,20543,1407,288095,Teamfight Tactics
twitchmedia54,/twitchmedia54,5255,11.9,5693,4,33,Just Chatting
JakeWebber69,/jakewebber69,5432,7.9,9032,31834,260047,Just Chatting
Cydonia_Chiara,/cydonia_chiara,2875,113.6,19473,2552,166837,Just Chatting
twitchmedia6,/twitchmedia6,4715,26.0,1482,0,208,Teamfight Tactics
Alinity,/alinity,2937,108.4,31473,356,1500189,Just Chatting
AmazonMusicJP,/amazonmusicjp,5275,11.0,54680,2004,106069,Music
xbuyeroficial,/xbuyeroficial,5258,11.4,20294,11299,189163,Sports
xFibii,/xfibii,2944,107.5,20548,16797,749184,VALORANT
宙星ぱる,/soraposhich,1985,213.1,14639,2993,83916,Grand Theft Auto V
UncleBjorn,/unclebjorn,2305,167.5,10119,2295,155688,World of Warcraft
cloakzy,/cloakzy,3374,79.1,67285,-422,2860754,Call of Duty: Warzone
Heideltraut,/heideltraut,1760,253.4,6406,630,182005,Grand Theft Auto V
Castro_1021,/castro_1021,4044,47.4,180269,435,3726890,FIFA 20
Danila_Gorilla,/danila_gorilla,4532,29.9,39820,11367,570483,Just Chatting
Hitch,/hitch,3388,77.5,5912,5400,136040,Just Chatting
Stoopzz,/stoopzz,2844,113.3,14221,1528,184201,Lost Ark
TeamfightTactics,/teamfighttactics,3143,91.6,46863,6190,200846,Teamfight Tactics
PRXf0rsakeN,/prxf0rsaken,4831,20.7,19218,13469,589261,VALORANT
NoraExplorer,/noraexplorer,2658,128.1,26204,4218,189891,Rust
FitMC,/fitmc,3735,58.8,21494,3633,320292,Minecraft
Dakillzor,/dakillzor,1860,229.7,23643,2481,233684,World of Tanks
StaysafeTV,/staysafetv,1816,238.0,25624,1266,238747,World of Warcraft
FerretSoftware,/ferretsoftware,762,720.0,6326,10655,49432,"Animals, Aquariums, and Zoos"
Dekarldent,/dekarldent,3183,87.9,13422,2143,85994,Just Chatting
el_yuste,/el_yuste,3009,98.5,26362,1016,174188,Just Chatting
MissaSinfonia,/missasinfonia,5268,8.6,89852,3200,4019959,Just Chatting
Heroes_Hub,/heroes_hub,2359,156.2,4969,1329,12084,Heroes of Might and Magic III: The Restoration of Erathia
BOOMBURAPA,/boomburapa,3000,98.7,25386,1953,126694,VALORANT
fugu_fps,/fugu_fps,2913,104.5,16632,26816,354184,Apex Legends
LityGal,/litygal,3809,53.8,3841,10,10,Casino
LCO,/lco,3468,69.9,21322,3245,50269,League of Legends
SPYGEA,/spygea,3639,61.3,60772,1089,609729,PUBG: BATTLEGROUNDS
Smurf_tv,/smurf_tv,2422,147.7,7863,2242,98079,League of Legends
Xari,/xari,2641,126.0,53814,-84,408371,Just Chatting
FolagorLives,/folagorlives,3187,85.4,57813,75,1602369,Grand Theft Auto V
PSP1G,/psp1g,1891,219.4,6716,4455,85365,Counter-Strike
Gosu,/gosu,2990,97.6,24325,5712,2022272,League of Legends
jaystreazy,/jaystreazy,1491,307.2,8371,758,111039,Just Chatting
sabrinoca,/sabrinoca,1425,326.3,6249,2336,54818,League of Legends
マクドナルドさん,/light_starboy,3019,95.3,8743,6475,58087,Grand Theft Auto V
daltoosh,/daltoosh,2139,179.3,30181,1658,763457,Apex Legends
소람잉,/sorammmm,4965,13.9,21042,1174,292464,League of Legends
bysTaXx,/bystaxx,3305,76.5,269907,550,2210512,Counter-Strike
Flight23white,/flight23white,4567,24.7,106892,5856,2173440,NBA 2K19
Luxy_grlx,/luxy_grlx,5106,9.9,5987,23,785,Casino
skain,/skain,2523,133.5,27237,3563,213741,League of Legends
LuluLuvely,/lululuvely,2622,124.2,32590,2590,1337297,Apex Legends
Guzu,/guzu,2377,148.4,12172,1594,166303,World of Warcraft
Wirtual,/wirtual,3876,48.0,27792,2638,423842,Trackmania
DansGaming,/dansgaming,2260,161.3,58718,162,842271,Path of Exile
deepins02,/deepins02,3579,60.6,126995,14675,1602065,Just Chatting
けんき,/kenki521,2426,141.9,24977,6231,233712,Just Chatting
RaizQT,/raizqt,1461,308.9,15185,3156,202213,Path of Exile
Luxury_qq,/luxury_qq,5084,9.5,5176,14,792,Casino
maumauzk_ofc,/maumauzk_ofc,4569,23.0,20226,9940,333241,Grand Theft Auto V
Closer,/closer,3745,52.4,17070,3922,326624,League of Legends
aikobliss,/aikobliss,1578,276.6,8064,6584,135565,Just Chatting
shipbroman,/shipbroman,4177,35.3,13034,18354,188471,Apex Legends
TrashTalkFr,/trashtalkfr,5018,10.8,28295,1733,99158,Sports
Mynthos,/mynthos,2808,106.4,20056,2064,272216,The Binding of Isaac: Repentance
twitchmedia5,/twitchmedia5,4724,18.1,5554,0,123,Just Chatting
Terablade,/terablade,2093,180.4,5128,2383,62717,Hearthstone
Move_Mind,/move_mind,2979,93.2,23185,2750,262952,Grand Theft Auto V
JohnPanio,/johnpanio,5039,9.7,47316,-163,1218260,ROBLOX
Fandy,/fandy,2967,93.4,25622,11308,304797,World of Warcraft
betboom_cs_b,/betboom_cs_b,3009,90.4,54935,6031,181457,Counter-Strike
Ray,/ray,2881,99.2,26625,902,592596,Just Chatting
luchogal_10,/luchogal_10,5136,6.8,6119,11,20,Call of Duty: Warzone
RMCsport,/rmcsport,2337,147.9,147297,30671,389843,Sports
anny,/anny,3709,52.1,9650,5062,353349,Just Chatting
ZealsAmbitions,/zealsambitions,1935,201.5,26665,1130,289240,Lost Ark
しゃるる,/syaruru3,1768,230.4,17787,2436,101507,League of Legends
DisguisedToast,/disguisedtoast,3583,57.5,62896,-1256,2839712,Hearthstone
shxtou,/shxtou,3384,66.8,34406,10481,1243564,Just Chatting
jLcs2,/jlcs2,4860,12.7,33777,15547,96683,Counter-Strike
ELoTRiX,/elotrix,2947,92.6,77178,2586,1618951,Just Chatting
Luxy_grl,/luxy_grl,4952,9.9,5068,21,794,Casino
Ravanha69,/ravanha69,739,698.0,1261,25,14919,Virtual Casino
lilsimsie,/lilsimsie,3457,61.8,23436,3691,826289,The Sims 4
ale_apoka,/ale_apoka,723,715.0,25412,5179,333862,Counter-Strike
Sanchovies,/sanchovies,2075,176.9,15588,1889,379496,League of Legends
SkipNhO,/skipnho,2681,111.7,54389,-104,1283046,PUBG: BATTLEGROUNDS
OskarWesterlin,/oskarwesterlin,2487,128.5,13976,9147,84980,Call of Duty: Warzone
Thijs,/thijs,2718,108.0,44931,-331,793568,Hearthstone
poderosobagual,/poderosobagual,2192,160.5,21404,14470,407545,Grand Theft Auto V
Zerost_s,/zerost_s,2086,174.0,10717,4663,94915,League of Legends
chibidoki,/chibidoki,2445,132.0,7789,35284,398723,Just Chatting
FRG_FFS,/frg_ffs,4930,9.5,5060,2,778,Casino
HaiseT,/haiset,2454,130.9,7993,3876,117095,Just Chatting
KarmineCorp,/karminecorp,4789,12.8,20406,10550,63896,Teamfight Tactics
bbreadman,/bbreadman,2110,169.9,6875,4137,174109,Call of Duty: Warzone
PrimeLeague,/primeleague,2240,153.6,78016,1079,214239,League of Legends
TomateKing,/tomateking,2848,96.8,40012,2656,174202,Grand Theft Auto V
SypherPK,/sypherpk,2842,97.2,151092,23765,6832707,Fortnite
綠茶,/greentea,1653,246.3,3770,1000,141493,Teamfight Tactics
jukes,/jukes,3647,50.8,34974,2398,1833200,League of Legends
DivaJilly,/divajilly,1204,379.3,10310,14131,46866,Grand Theft Auto V
Frodan,/frodan,2186,158.7,11226,4784,92504,Teamfight Tactics
TheJRM_,/thejrm_,2514,123.2,6753,5221,394149,Dead by Daylight
twitchmedia50,/twitchmedia50,4503,19.4,4880,0,122,Hearthstone
けっつん,/kettuncyukyuhei,1768,221.1,16680,3015,40585,Grand Theft Auto V
Chavo8TV,/chavo8tv,706,720.3,1398,13430,102620,El Chavo
casinomomoreis,/casinomomoreis,3668,48.9,6822,7830,83736,Casino Jackpot
akyuliych,/akyuliych,4746,12.5,20979,17135,902186,Just Chatting
absoluttlol,/absoluttlol,2015,178.7,11471,1342,153982,League of Legends
carolinekwan,/carolinekwan,2524,120.2,32454,5822,111688,Just Chatting
CALCIOBERLIN,/calcioberlin,4493,18.7,13207,2202,87254,Sports
CreamTheRabbit,/creamtherabbit,3836,40.9,5896,45,1012840,ROBLOX
白波らむね,/ramuneshiranami,2338,137.7,7726,6600,154886,VALORANT
kristinadaniellexo,/kristinadaniellexo,2127,162.3,3580,3718,255444,ASMR
たここちゃん,/takoko_vtuber,1788,214.1,17518,6591,109413,Grand Theft Auto V
MauriceWeber,/mauriceweber,2585,113.2,11781,4685,117637,Just Chatting
Bugha,/bugha,3261,66.5,84747,29114,5491905,Fortnite
GuDDummit,/guddummit,2213,150.4,8057,1766,72733,Hearthstone
Rakyz,/rakyz,2877,89.9,10488,1479,197747,League of Legends
influesii753,/influesii753,4748,10.6,22729,5334,248305,Just Chatting
Calebhart42,/calebhart42,1995,178.3,18309,903,212368,FINAL FANTASY VII
RoyalPhunk,/royalphunk,2509,119.0,23104,1207,277010,Just Chatting
AlinaRinRin,/alinarinrin,3442,56.6,28384,9662,363792,Just Chatting
MokrySuchar,/mokrysuchar,2511,118.0,20142,3059,208252,Just Chatting
DeraJN,/derajn,2254,143.7,12115,1771,70555,Marvel Snap
Ilytog,/ilytog,2313,137.2,2992,61,61,Casino
Carpentieri,/carpentieri,2390,129.1,6571,5314,143011,FIFA 23
Werlyb,/werlyb,2951,83.2,76653,1849,778642,League of Legends
superjj102,/superjj102,2309,137.1,10973,416,164096,Hearthstone
paradeev1ch,/paradeev1ch,4874,6.5,81966,3791,1780344,Just Chatting
冠緯,/guanweiboy,3113,72.6,34791,507,130423,League of Legends
FarfadoxVEVO,/farfadoxvevo,3244,65.1,80328,9043,1606980,Minecraft
evaanna,/evaanna,2613,107.5,39110,3941,739556,Just Chatting
MenosTrece,/menostrece,2567,111.3,47821,3023,1200739,Dead by Daylight
xChocoBars,/xchocobars,2031,170.0,60017,3199,984883,League of Legends
LuxuryGirl_STRM,/luxurygirl_strm,4577,13.5,4684,29,806,Casino
MasterSnakou,/mastersnakou,2863,88.0,19278,2388,641241,Just Chatting
KarmikKoala,/karmikkoala,2073,163.8,10744,2452,212441,DARK SOULS III
たいじ_たいちゃんねる,/yaritaiji,4546,14.2,12788,970,39169,Street Fighter 6
llunaclark,/llunaclark,3349,58.8,10741,13434,388242,Just Chatting
HappyHappyGal,/happyhappygal,1979,176.3,6922,16287,106167,Fortnite
Moonryde,/moonryde,1988,174.9,77473,2193,659363,Call of Duty: Warzone
AlphaKep,/alphakep,2226,143.7,6016,7805,237365,Rocket League
KeshaEuw,/keshaeuw,3076,73.3,9174,12602,483147,League of Legends
jessirocks,/jessirocks,2324,132.6,71675,1925,220735,Diablo III
FifaTargrean,/fifatargrean,1732,215.6,14433,973,505151,Just Chatting
FRG_gj,/frg_gj,4649,10.6,4697,7,1280,Casino
F1NN5TER,/f1nn5ter,4608,11.7,16358,2703,728382,Just Chatting
Rainbow6FR,/rainbow6fr,2517,113.0,15847,2825,191129,Tom Clancy's Rainbow Six Siege
diegogelio_,/diegogelio_,4217,22.6,20144,7169,78642,Just Chatting
QuarterJade,/quarterjade,3577,46.2,45305,1479,1143056,VALORANT
ta1yo_tv,/ta1yo_tv,2657,100.6,30960,4668,268736,Overwatch
Cinna,/cinna,3126,68.7,17187,6327,140219,Just Chatting
elwycco,/elwycco,3309,58.7,13692,763,238267,Just Chatting
jimbofnt,/jimbofnt,2900,82.6,6050,-956,5891,Fortnite
HitboTC,/hitbotc,1850,192.4,15810,3723,159903,Sea of Thieves
Trey24k,/trey24k,1846,192.9,33588,2610,220652,Escape from Tarkov
QAVIVI,/qavivi,1959,175.3,3690,64,18360,Dota 2
sweetdreams,/sweetdreams,3501,48.7,35754,-494,833456,Apex Legends
emilyywang,/emilyywang,2677,97.8,16453,2079,220805,Teamfight Tactics
Dekkster,/dekkster,2513,110.9,30261,1163,125961,Hearthstone
yamatosdeath,/yamatosdeath,2536,108.5,17044,3293,240193,League of Legends
台北建東,/jd_onlymusic,2689,96.0,16130,330,45949,Just Chatting
踢虧,/takesipon,2148,148.1,18587,767,127306,Dead by Daylight
LaAgusneta,/laagusneta,2036,162.2,14684,11858,301976,Just Chatting
lucasjack89,/lucasjack89,3130,66.6,12624,8094,72965,League of Legends
是喬希啊,/josie5297,2930,78.4,19427,6285,106111,Just Chatting
1wron3k,/1wron3k,2807,86.4,12484,33651,194051,Just Chatting
kukudota2,/kukudota2,1768,202.3,14472,3513,55488,Dota 2
scormal,/scormal,4682,7.2,5164,1,71,Variety
BUXEXA_AO_VIVO,/buxexa_ao_vivo,2011,164.2,2077,830,1786,Slots
nihmune,/nihmune,3745,36.8,10781,4479,308597,Just Chatting
Agustabell212,/agustabell212,2252,134.5,33230,359,237333,Rust
アマル,/amal_3rd,1831,190.6,12643,2056,55154,Grand Theft Auto V
SlotHustla,/slothustla,1489,259.8,1711,12346,20134,Slots
JapaneseKoreanUG,/japanesekoreanug,2084,153.9,22020,4610,132910,League of Legends
Saintone,/saintone,1265,324.8,18434,-249,157561,Lost Ark
Juice,/juice,1795,196.0,8350,1248,116511,Just Chatting
Luxry_Fly,/luxry_fly,4660,7.1,4672,15,786,Casino
TFBlade,/tfblade,2200,139.0,53026,-2268,1245433,League of Legends
JakuLak,/jakulak,4005,26.2,6353,3,3,Casino
ravusssss,/ravusssss,2035,159.0,27437,8494,207491,FIFA 21
恭一郎,/dmf_kyochan,1429,273.2,17821,1489,289992,Apex Legends
FRGxy,/frgxy,4630,7.3,4744,2,778,Casino
ibrahimtv_2434,/ibrahimtv_2434,3854,31.0,11426,5111,92605,League of Legends
Eyou_TV,/eyou_tv,4530,9.5,10727,2837,55264,Just Chatting
MST3K,/mst3k,658,717.6,19785,425,92984,Mystery Science Theater 3000
OpytAju,/opytaju,3399,49.3,3999,2,2,Casino
kyo1984123,/kyo1984123,1449,264.7,12609,-689,167795,Just Chatting
Vovapain,/vovapain,2703,90.4,17182,4859,233598,Dota 2
elyihi,/elyihi,2608,97.5,8060,879,69545,Sports
梓澪與村長,/s201111,3045,67.5,8465,12895,228305,Just Chatting
twitchmedia28,/twitchmedia28,4360,13.3,5192,7,428,Fortnite
Trebor,/trebor,3801,31.5,11202,24529,459715,Brawl Stars
nacho_dayo,/nacho_dayo,3042,67.0,11895,5307,383312,VALORANT
