streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers
Jynxzi,/jynxzi,97831,111,202569,708467,4872910
ibai,/ibai,78200,117.6,3442745,67288,15483385
KaiCenat,/kaicenat,60974,110.5,348593,304962,9188458
auronplay,/auronplay,67954,83.6,602038,76889,16159377
caseoh_,/caseoh_,62387,97.3,110574,646878,3084552
Gaules,/gaules,14340,714.2,707648,14920,4065385
RevedTV,/revedtv,94462,6.4,124351,25123,1090301
Nix,/nix,45016,113.5,246261,32289,762394
Rainbow6,/rainbow6,43198,117.3,191703,104880,2760425
Papaplatte,/papaplatte,31299,198.6,120011,82516,2210769
fps_shaka,/fps_shaka,22745,313.6,125341,15089,1372810
tarik,/tarik,34787,166.5,215660,41449,2994028
加藤純一です,/kato_junichi0817,28966,210.6,241593,18960,895844
Baiano,/baiano,10041,718.1,154553,13404,969464
BALLERLEAGUE,/ballerleague,56735,31.8,96956,64810,186878
dota2_paragon_ru,/dota2_paragon_ru,37472,102.7,263498,26950,261860
Caedrel,/caedrel,22269,240.5,185921,29190,687197
Kamet0,/kamet0,27590,167.5,419458,23593,1846685
eliasn97,/eliasn97,22575,225.2,189931,22642,1796956
xQc,/xqc,39040,78.5,278176,1273,11981423
PGL,/pgl,27942,141.5,649414,88447,1591065
mistermv,/mistermv,30671,118,80340,11315,876902
ohnePixel,/ohnepixel,27504,141.8,236159,45165,1125256
summit1g,/summit1g,15563,334.5,310998,7241,6250897
IlloJuan,/illojuan,41283,53.8,205005,31765,4003953
imantado,/imantado,19082,240.7,40608,100852,823295
kingsleagueamericas,/kingsleagueamericas,50683,20.8,77408,163040,351034
Lord_Kebun,/lord_kebun,19945,217,41472,26415,625952
kingsleague,/kingsleague,37263,63.1,1098636,16183,3053977
HasanAbi,/hasanabi,18920,231.6,226974,-440,2562142
VALORANT_Americas,/valorant_americas,35211,70.1,69211,121664,686442
らっだぁ,/raderaderader,23712,151.2,69696,14846,650917
EsfandTV,/esfandtv,11695,417.7,61987,22502,1340307
VALORANT_jpn,/valorant_jpn,25604,118.8,113833,30360,527791
MontanaBlack88,/montanablack88,31203,77.2,202216,30077,5287252
Squeezie,/squeezie,38441,40.9,1340960,41661,4941413
loltyler1,/loltyler1,17457,217.3,368484,6251,5299601
LEC,/lec,28863,85.1,400312,12807,2036848
JonVlogs,/jonvlogs,23301,126,152201,84181,1909965
zackrawrr,/zackrawrr,19873,165.3,204144,33545,1725516
LIRIK,/lirik,18884,173.3,89170,5859,2962617
GRONKH,/gronkh,19013,171.1,115784,9325,1652633
TheGrefg,/thegrefg,27322,85.1,2470347,54804,11881304
LCK,/lck,25776,93.5,307586,22941,1832880
Clix,/clix,19774,154.6,130208,193518,7272712
just_ns,/just_ns,17901,182,114216,16839,727256
ESLCS,/eslcs,6844,648.6,562080,51557,6271942
MrSavage,/mrsavage,23384,110.3,127414,187761,3954233
otplol_,/otplol_,6197,718.7,204072,8852,713770
Mizkif,/mizkif,28973,65.2,192216,3019,2077162
叶ちゃんねる,/kanae_2434,15522,210.1,57430,19900,540100
ファン太,/fantasista_jp,14660,227.4,46884,7671,248209
buster,/buster,25043,86.6,196574,47841,3890978
Gotaga,/gotaga,20241,131.3,405271,27119,4293517
betboom_eng,/betboom_eng,22945,101.8,61150,29330,88726
NoWay4u_Sir,/noway4u_sir,12731,265.5,49218,5938,663602
Rubius,/rubius,21480,111.5,372079,45509,14869364
Elraenn,/elraenn,28938,52.2,163915,43990,4609445
QTCinderella,/qtcinderella,23012,91.2,381436,62205,1015108
loud_coringa,/loud_coringa,22399,89.5,307450,71041,5091822
Cellbit,/cellbit,21847,92.9,215165,26859,3323097
k4sen,/k4sen,21097,97.2,114565,16709,740208
shroud,/shroud,14959,182.2,516289,49832,10799196
PaulinhoLOKObr,/paulinholokobr,24402,66.3,266793,35843,2815492
CapcomFighters,/capcomfighters,23947,68.5,108815,11818,436512
betboom_ru,/betboom_ru,13666,196.1,116495,21886,349268
ElMariana,/elmariana,21537,81.8,159115,89289,9377723
RocketLeague,/rocketleague,22390,71.8,259144,26390,4175402
JLTomy,/jltomy,13141,198.5,261719,6640,1237142
Mixwell,/mixwell,13748,184.4,87546,17052,1069376
Tumblurr,/tumblurr,19631,93.3,47393,16463,1437937
Emiru,/emiru,22163,64.6,59377,27710,1428637
Quin69,/quin69,11436,228.7,44153,7820,826486
Maximilian_DOOD,/maximilian_dood,12323,202.6,62310,15623,1268663
s0mcs,/s0mcs,10147,267.2,44008,32520,1061454
alanzoka,/alanzoka,15408,135.8,147051,48920,6964923
TSM_ImperialHal,/tsm_imperialhal,14217,152.4,108815,15289,1988414
MOONMOON,/moonmoon,13336,167.5,42066,10179,1184615
ESL_DOTA2,/esl_dota2,4493,704.4,263970,12819,764153
HandIOfIBlood,/handiofiblood,13485,160.3,65007,58451,1058590
Mongraal,/mongraal,15781,120.2,140446,146579,6769876
Gorgc,/gorgc,10344,240.5,93988,2769,710719
DessT3,/desst3,11321,205.6,26299,66276,493696
elxokas,/elxokas,18464,83,1208144,54268,3886303
im_mittiii,/im_mittiii,11189,207.2,38681,19201,245477
gabepeixe,/gabepeixe,11643,193.3,101307,28706,1467333
Ramee,/ramee,11013,210.3,41892,17355,574475
sodapoppin,/sodapoppin,12221,169.8,110052,-1143,8886026
ElSpreen,/elspreen,20686,51.8,403954,74646,9090372
ElZeein,/elzeein,7023,366.5,41203,39808,528634
Warframe,/warframe,27153,12.2,433736,10860,2048254
telefe,/telefe,9064,255.5,76912,54310,504751
bratishkinoff,/bratishkinoff,14305,120.1,146916,37068,2810559
Jasper7se,/jasper7se,11131,180.8,51453,21030,601228
はんじょう,/hanjoudesu,11935,160.7,30536,14661,244602
VALORANT_Pacific,/valorant_pacific,18277,66.2,48075,65859,256401
LCS,/lcs,18788,60.4,400429,6008,1970845
Fortnite,/fortnite,19961,49.9,700529,143565,5822051
zubarefff,/zubarefff,22135,34,69039,68753,1668095
IzakOOO,/izakooo,11522,167.2,116805,16100,1928012
xCry,/xcry,21965,34.6,606851,47886,3240607
s1mple,/s1mple,23608,22.9,73680,44685,3695891
QuackityToo,/quackitytoo,26341,8.8,140697,9017,4604806
VALORANT_BR,/valorant_br,17166,67.2,150096,28273,726702
Thebausffs,/thebausffs,13076,120.2,47879,11706,1212882
evelone2004,/evelone2004,17858,57.4,56415,26938,727951
Warcraft,/warcraft,15790,78.4,98596,17805,788503
Quackity,/quackity,24593,8.8,381550,14037,6328015
casimito,/casimito,14598,90.6,534644,16805,3819356
davooxeneize,/davooxeneize,11634,138.8,70524,66404,1759756
LuquEt4,/luquet4,13515,103.9,111307,16434,1713674
Amar,/amar,12588,118.2,183300,47180,1697599
Reborn,/reborn,11112,146.8,113707,36652,2591069
bySL4M,/bysl4m,11469,138.6,106769,29625,281563
rivers_gg,/rivers_gg,16915,57.3,213846,78813,5855149
CohhCarnage,/cohhcarnage,9625,180.8,70985,8137,1565150
ExtraEmily,/extraemily,14106,87.5,43132,16619,340705
iiTzTimmy,/iitztimmy,8711,208.9,138482,29843,2811666
mrbluwu,/mrbluwu,3348,720,15228,7252,65430
Shlorox,/shlorox,4608,490.1,21757,3434,418074
Roier,/roier,15589,66.1,300741,26075,2378692
PirateSoftware,/piratesoftware,8445,215.8,18515,68386,449810
knekro,/knekro,9754,170.2,60150,7147,1122822
AussieAntics,/aussieantics,8704,202.7,43924,53113,1187164
WonBlack_,/wonblack_,23426,5.2,26273,181,18658
VALORANT_EMEA,/valorant_emea,12309,110,102377,64996,510178
CR_VanilLa,/cr_vanilla,9988,161.2,21565,22400,202015
lolpacifictw,/lolpacifictw,15087,66.5,165491,1512,270846
DjMaRiiO,/djmariio,14231,76,91279,54065,1386144
Elajjaz,/elajjaz,8131,215.4,22282,1797,475454
shadowkekw,/shadowkekw,14189,70.4,40573,21100,466083
Recrent,/recrent,7609,222.5,47737,42727,1163696
donk1221,/donk1221,21159,8.1,35990,114916,152074
NiceWigg,/nicewigg,10369,131.6,71033,12173,773373
Nikof,/nikof,15928,46.2,49971,12861,627843
YoungMulti,/youngmulti,13200,78.3,33776,21268,1084172
Bkinho,/bkinho,9818,140.8,33020,21158,245088
WarThunder_eSports,/warthunder_esports,17951,26.3,31907,39334,117276
Kyedae,/kyedae,9164,157.6,107583,37045,2728314
Trymacs,/trymacs,11494,102.1,365000,12348,3523921
juanicar_,/juanicar_,18371,21.2,39445,124928,180680
LVNDMARK,/lvndmark,7761,199.7,165048,12290,1217412
xRohat,/xrohat,6442,257.8,67456,22512,1004398
TcK10,/tck10,7320,213.1,38257,26893,425093
ZeratoR,/zerator,10577,111.5,707071,372,1542225
ごっちゃんマイキー,/gocchanmikey,7237,214,37372,16315,129313
DiarioMARCA,/diariomarca,19283,10.6,121883,177,34189
pgl_cs2,/pgl_cs2,12391,76.5,174457,39530,429037
sasavot,/sasavot,10602,102.9,32938,62331,402984
Simurgh,/simurgh,12635,68.1,47082,3410,1473358
T90Official,/t90official,8070,168.8,63954,9810,249126
ironmouse,/ironmouse,7480,187.6,32665,25767,1896406
JesusAVGN,/jesusavgn,9459,123.8,106667,1989,1761358
sasatikk,/sasatikk,8198,159.7,41391,9550,327452
Domingo,/domingo,11404,83.2,204966,4721,1744697
NNOPrime,/nnoprime,18217,10.4,38583,3623,84948
thek4sen,/thek4sen,18495,8.5,24306,13517,42066
AdmiralBahroo,/admiralbahroo,6447,228.8,52399,987,841333
MartinCirioOk,/martinciriook,14144,42.1,30882,13408,158561
forsen,/forsen,7948,160.1,80860,671,1739074
EAMaddenNFL,/eamaddennfl,17272,13.5,97361,15629,677268
Tolkin,/tolkin,6179,235.9,49219,5488,295061
k3soju,/k3soju,11659,72.3,30882,837,563258
AntoineDaniel,/antoinedaniel,10061,101.4,74618,4053,1030000
Rainbow6BR,/rainbow6br,9399,115.5,87521,13258,609012
柊ツルギ,/hiiragitsurugi,6510,214.9,66755,11443,143629
betboom_ru2,/betboom_ru2,13059,50.7,70416,14824,132226
betboom_eng2,/betboom_eng2,13573,43.5,36709,16414,32417
Tikyjr,/tikyjr,8320,138.9,34425,15409,170063
StRoGo1337,/strogo1337,9648,104.1,54818,94243,572680
ESL_Dota2Ember,/esl_dota2ember,13786,38.8,148635,4040,599243
Etoiles,/etoiles,8712,125.7,242237,12641,1098560
genesisgg,/genesisgg,13994,35.9,45092,36950,42163
stylishnoob4,/stylishnoob4,16343,14.6,112628,1203,1041241
UniversoReality_EC,/universoreality_ec,5677,248.3,22185,17346,39815
QuickyBaby,/quickybaby,6785,189.6,25201,6190,605398
Agent00,/agent00,8738,121.3,128313,31508,1433359
Fanum,/fanum,9891,93.9,45268,67508,1927865
HisWattson,/hiswattson,5624,239.1,21393,23114,692427
juansguarnizo,/juansguarnizo,8427,120.4,409967,4512,11170234
Unboxholics,/unboxholics,15571,14.1,63584,2386,453078
OverwatchContenders,/overwatchcontenders,16472,6.6,42510,1290,665964
rezonfn,/rezonfn,7532,145.1,65422,95112,862453
yuuri22,/yuuri22,12003,49.6,39242,41654,280524
BastiGHG,/bastighg,6931,167.1,62507,28009,1720830
NeVeR_LosEs,/never_loses,7522,144.6,14244,2634,285055
RRaenee,/rraenee,12591,41.6,25337,31480,1229694
HoneyMad,/honeymad,13255,31.7,35127,2793,736094
angryginge13,/angryginge13,7681,134.7,25899,21556,766869
Tubbo,/tubbo,7058,154.4,332671,1270,5243510
mondo2244,/mondo2244,6477,178.1,26160,7809,198402
CBLOL,/cblol,8453,110.3,281184,3655,1612424
TenZ,/tenz,13138,31.4,85010,25454,3763957
Aydan,/aydan,5514,227.5,77954,25006,3069211
plaqueboymax,/plaqueboymax,8552,107,19895,26368,642889
m0NESYof,/m0nesyof,16049,5,28407,14146,966376
GamerBrother,/gamerbrother,9606,82.4,76709,5081,556696
triiisecta,/triiisecta,15711,6.9,27474,26450,103959
랄로,/aba4647,6706,164.7,57993,1796,686830
scump,/scump,8392,108.4,176972,13030,1661474
Pauleta_Twitch,/pauleta_twitch,8422,107.6,42305,10052,594759
PaymoneyWubby,/paymoneywubby,13193,27.6,44403,945,627456
NICKMERCS,/nickmercs,10973,55,371232,3708,6717545
ow_uruca,/ow_uruca,6404,172.2,20345,12774,217699
brtt,/brtt,5499,218.5,35436,9700,974203
Bonjwa,/bonjwa,4750,269.9,33444,336,236538
Coreano,/coreano,4302,305.7,62371,11227,691366
PENTA,/penta,6081,183,22781,71,360181
GOFNS,/gofns,5550,209.8,25723,31445,224720
赤見かるび,/akamikarubi,5956,184.2,43617,13781,440745
alondrissa,/alondrissa,8947,85.1,17040,123932,323677
sinatraa,/sinatraa,5339,217.2,45093,11587,1861971
LPL,/lpl,9333,76.7,149720,7915,1016391
des0ut,/des0ut,6061,177.9,22215,21377,454954
H2P_Gucio,/h2p_gucio,6622,150.8,61218,4925,410697
AsianJeff,/asianjeff,5817,186.5,26787,189619,1394103
Flats,/flats,4802,249,22525,26539,621500
LLA,/lla,10112,59.9,302299,4198,672372
橘ひなの,/hinanotachiba7,6256,165.3,29282,15733,421725
Leb1ga,/leb1ga,13432,17.1,42350,10826,290306
esports_rage,/esports_rage,11050,44.7,74276,6525,190895
Northernlion,/northernlion,8845,83.1,50421,6220,651274
CDawgVA,/cdawgva,8838,82.8,77752,17869,1208658
ゆゆうた押忍,/yuyuta0702,5941,176.9,24365,5265,245437
Magic,/magic,12160,29,125980,4216,466041
RDjavi,/rdjavi,11084,42.4,22184,32933,685284
Jolavanille,/jolavanille,6548,148.4,26292,20610,606775
Llobeti4,/llobeti4,13645,12.8,36212,9745,1565328
CR_rion,/cr_rion,7312,119.3,36595,8752,221037
Lacy,/lacy,5541,189.2,23266,45775,391054
Zentreya,/zentreya,4994,215.9,25817,10087,480181
Grendy,/grendy,7224,114.9,12786,2725,184164
ow_esports__,/ow_esports__,10884,38.2,373393,15752,1877886
Jinnytty,/jinnytty,5292,193.8,26902,6238,994364
mira,/mira,1965,709.2,9522,30646,579203
Philza,/philza,8468,79.1,162626,-1052,4351186
Dmitry_Lixxx,/dmitry_lixxx,7022,117.9,31463,22611,1360102
imaqtpie,/imaqtpie,4795,224.1,77541,6371,2582051
xmerghani,/xmerghani,10631,39.8,27938,14329,537571
VooDooSh,/voodoosh,4654,233.3,52516,6680,359018
MaximeBiaggi,/maximebiaggi,10392,42.4,187871,16165,651186
LenaGol0vach,/lenagol0vach,7736,94.8,22916,8362,558118
老皮,/mobilmobil,6121,147.5,20032,1273,545107
Stray228,/stray228,8009,85.7,49312,12069,1571029
TheRealMarzaa,/therealmarzaa,4779,218.7,40183,17371,1457609
skywhywalker,/skywhywalker,8902,65.7,30445,23366,772315
BUXEXA_str,/buxexa_str,1958,691.6,2988,452,1783
RazaH,/razah,4600,230.6,16719,6445,205430
asianbunnyx,/asianbunnyx,6619,126.2,22476,31727,813124
Shylily,/shylily,5868,156.5,33922,27795,1328992
Kamito_JP,/kamito_jp,4978,204.3,18959,9630,261289
羅傑,/roger9527,7389,100.3,20669,2275,188895
Hype,/hype,13328,6.1,83333,174,792834
Mande,/mande,4900,207,19168,14174,597843
らいじん,/alfrea,5125,191.5,25701,8106,166096
Jahrein,/jahrein,11130,28.2,316703,514,1910665
Jolygolf,/jolygolf,11543,22.9,49374,10063,474387
Foolish,/foolish,6168,139.2,133517,2990,2190976
Joueur_du_Grenier,/joueur_du_grenier,8317,73.7,181902,4892,961814
Rainbow6Bravo,/rainbow6bravo,7760,85.2,77348,21762,297275
Glorious_E,/glorious_e,4746,209.7,40764,7706,320457
Emongg,/emongg,4379,234.9,78947,11731,957181
Doublelift,/doublelift,6467,123,64735,2360,1780304
DougDoug,/dougdoug,9946,40,20469,24300,853718
elded,/elded,4645,211.7,54483,3032,5577231
蝦愛橘子,/shuteye_orange,1807,717.3,9944,98,174383
LACOBRAAA,/lacobraaa,6827,107.8,73783,24924,882042
chowh1,/chowh1,5414,162,59343,7142,792917
Carreraaa,/carreraaa,9638,42.2,158444,54630,4476657
WankilStudio,/wankilstudio,9704,40.8,32755,5471,1235035
BotezLive,/botezlive,10003,36.1,86864,4328,1278275
RebeuDeter,/rebeudeter,9673,40.9,155443,15347,1472644
Zizaran,/zizaran,5363,162.1,30289,9234,433297
Pobelter,/pobelter,4660,203.1,31774,9999,432372
MORGENSHTERN,/morgenshtern,11345,17.5,120112,30791,401020
mertabimula,/mertabimula,3670,285.8,20178,25978,285912
Locklear,/locklear,7136,92.6,58905,9001,2168676
runthefutmarket,/runthefutmarket,6102,126.5,44274,5420,908781
Drututt,/drututt,6125,124.9,35813,6243,564137
rostislav_999,/rostislav_999,9662,38.5,41888,14567,794349
Sardoche,/sardoche,4190,233.6,146958,-7141,1265787
Tectone,/tectone,6440,111.1,62220,5673,929359
Otzdarva,/otzdarva,5671,139.7,37035,27395,996191
RiotGamesJP,/riotgamesjp,8611,53.2,96114,2952,302310
아이네_,/vo_ine,11918,7.5,31660,273,357812
gamesofuture_dota2,/gamesofuture_dota2,7532,76.1,24740,22633,21202
Duke,/duke,11427,12.1,54669,39518,1959039
Vinesauce,/vinesauce,6753,97.3,19347,3501,596781
Symfuhny,/symfuhny,4633,192.4,47884,5041,3974625
YoDa,/yoda,4810,181.2,132814,1629,2438008
dkincc,/dkincc,10294,24.9,26337,12370,386973
Franio,/franio,7102,85.8,33621,8491,422967
aldo_geo,/aldo_geo,5760,131.1,53044,15989,1825506
Rezo,/rezo,10937,15.9,33582,8213,634458
thesketchreal,/thesketchreal,9894,28.6,28046,151946,283269
BarbarousKing,/barbarousking,3251,312.4,25243,793,210512
WorldofTanks,/worldoftanks,10338,21.8,71042,3545,457225
Lysium,/lysium,4235,213.2,24124,4562,296416
dota2_paragon_ru2,/dota2_paragon_ru2,9300,36.6,36263,8012,56688
supertf,/supertf,4493,191.5,29409,4700,632602
willneff,/willneff,6744,89.9,45771,14202,484084
easportsfc,/easportsfc,11608,5.5,290841,9097,3488400
TheRealKnossi,/therealknossi,9829,26.4,336065,1862,2328191
ギルくん,/guilty1223,3679,256,18886,34014,132991
henyathegenius,/henyathegenius,5669,127.1,37253,12039,302957
GronkhTV,/gronkhtv,1622,720.2,23816,5615,550058
LVPes,/lvpes,3612,262.3,232608,331,1101189
DarioMocciaTwitch,/dariomocciatwitch,6103,109.2,30199,10767,564026
xTheSolutionTV,/xthesolutiontv,4363,195.3,32937,5220,708200
playapex,/playapex,7524,65.6,213219,7312,1171160
gerardromero,/gerardromero,5162,146.3,146872,836,713697
kussia88,/kussia88,8631,42.2,86085,27543,932769
oestagiario,/oestagiario,4686,169.7,19679,5036,327329
濃いめのあかりん,/akarindao,3565,257.7,13666,10322,438683
Waolol1,/waolol1,4195,200,18418,11312,251205
Ayellol,/ayellol,3975,217,13726,9581,433370
Xaryu,/xaryu,4795,159.8,51524,6021,566398
Ray__C,/ray__c,4542,174.8,75789,3221,571305
RocketBaguette,/rocketbaguette,7002,74.2,87718,10888,411318
世誠,/bbbb87,4611,170.1,19598,1349,149834
RDCgaming,/rdcgaming,9010,32.6,24121,6841,676774
kyootbot,/kyootbot,6138,97.9,15704,7910,562461
