streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers,contenido principal,idioma,fecha creacion canal,subs actuales,maximo subs
BigBossBoze,/bigbossboze,5050,19.8,13809,3377,326713,Just Chatting,English,2015-01-26,2577.0,8968.0
一ノ瀬うるは,/uruhaichinose,4171,46.6,11764,5101,236137,VALORANT,Japanese,2020-09-13,,
HimoHuk,/himohuk,4076,50.0,3921,6,6,Casino,Russian,2023-07-24,,
twitchmedia4,/twitchmedia4,4382,38.6,320,0,177,Variety,English,2015-03-03,,
DreadzTV,/dreadztv,2851,118.9,51454,328,698517,Dota 2,Russian,2012-06-06,47.0,2298.0
Criticas_QLS,/criticas_qls,4431,36.8,30790,6917,292127,Just Chatting,Spanish,2019-08-05,1091.0,2696.0
spokoynich_,/spokoynich_,4206,44.5,17102,16535,215597,Dota 2,Russian,2016-01-02,,
しんじさん,/shinjifromjapanxd,2738,127.5,23665,2428,153744,Just Chatting,Japanese,2018-11-20,706.0,1772.0
cameliaaa92,/cameliaaa92,4181,45.1,72957,7966,501266,Grand Theft Auto V,French,2022-04-22,,
helydia,/helydia,2758,125.6,6556,57813,318674,VALORANT,French,2018-08-29,4794.0,6337
PietSmiet,/pietsmiet,3236,90.5,125743,812,788450,Just Chatting,German,2011-04-25,4234.0,28102.0
さくらみこ,/sakuramiko_hololive,5274,12.4,17284,3918,317322,Watch Parties,Japanese,2020-07-22,262.0,1259.0
AlveusSanctuary,/alveussanctuary,783,719.8,11846,7428,165171,"Animals, Aquariums, and Zoos",English,2021-01-15,,
接接,/godjj,3881,56.5,23192,148,371924,League of Legends,Chinese,2010-04-03,1675.0,2505.0
赤鬼伯伯,/akaonikou1207,3306,85.1,23628,13922,395755,Just Chatting,Chinese,2017-04-26,,
花輪同學,/gearbaby1010,2527,145.6,20543,1407,288095,Teamfight Tactics,Chinese,2017-07-01,2045.0,5798.0
twitchmedia54,/twitchmedia54,5255,11.9,5693,4,33,Just Chatting,English,2021-02-08,,
JakeWebber69,/jakewebber69,5432,7.9,9032,31834,260047,Just Chatting,English,2018-03-11,0.0,506
Cydonia_Chiara,/cydonia_chiara,2875,113.6,19473,2552,166837,Just Chatting,Italian,2017-11-13,10673.0,10894.0
twitchmedia6,/twitchmedia6,4715,26.0,1482,0,208,Teamfight Tactics,Spanish,2015-04-01,,
Alinity,/alinity,2937,108.4,31473,356,1500189,Just Chatting,English,2012-12-23,,
AmazonMusicJP,/amazonmusicjp,5275,11.0,54680,2004,106069,Music,Japanese,2020-08-07,,
xbuyeroficial,/xbuyeroficial,5258,11.4,20294,11299,189163,Sports,Spanish,2020-03-16,,
xFibii,/xfibii,2944,107.5,20548,16797,749184,VALORANT,German,2018-05-10,2020.0,6923.0
宙星ぱる,/soraposhich,1985,213.1,14639,2993,83916,Grand Theft Auto V,Japanese,2020-09-14,,
UncleBjorn,/unclebjorn,2305,167.5,10119,2295,155688,World of Warcraft,Russian,2014-10-21,59.0,2820.0
cloakzy,/cloakzy,3374,79.1,67285,-422,2860754,Call of Duty: Warzone,English,2015-02-03,2247.0,11445.0
Heideltraut,/heideltraut,1760,253.4,6406,630,182005,Grand Theft Auto V,German,2013-04-28,8021.0,8042.0
Castro_1021,/castro_1021,4044,47.4,180269,435,3726890,FIFA 20,English,2013-11-24,3625.0,44977.0
Danila_Gorilla,/danila_gorilla,4532,29.9,39820,11367,570483,Just Chatting,Russian,2022-02-08,,
Hitch,/hitch,3388,77.5,5912,5400,136040,Just Chatting,English,2018-03-01,1165.0,3614
Stoopzz,/stoopzz,2844,113.3,14221,1528,184201,Lost Ark,English,2016-11-03,,
TeamfightTactics,/teamfighttactics,3143,91.6,46863,6190,200846,Teamfight Tactics,English,2019-05-08,,
PRXf0rsakeN,/prxf0rsaken,4831,20.7,19218,13469,589261,VALORANT,English,2017-06-20,0.0,27
NoraExplorer,/noraexplorer,2658,128.1,26204,4218,189891,Rust,English,2017-09-06,,
FitMC,/fitmc,3735,58.8,21494,3633,320292,Minecraft,English,2016-07-10,,
Dakillzor,/dakillzor,1860,229.7,23643,2481,233684,World of Tanks,English,2011-10-26,2022.0,7036
StaysafeTV,/staysafetv,1816,238.0,25624,1266,238747,World of Warcraft,English,2012-04-19,2278.0,8219.0
FerretSoftware,/ferretsoftware,762,720.0,6326,10655,49432,"Animals, Aquariums, and Zoos",English,2023-02-22,,
Dekarldent,/dekarldent,3183,87.9,13422,2143,85994,Just Chatting,German,2016-10-25,3930.0,5400.0
el_yuste,/el_yuste,3009,98.5,26362,1016,174188,Just Chatting,Spanish,2018-03-13,1226.0,2080
MissaSinfonia,/missasinfonia,5268,8.6,89852,3200,4019959,Just Chatting,Spanish,2013-07-14,326.0,1823.0
Heroes_Hub,/heroes_hub,2359,156.2,4969,1329,12084,Heroes of Might and Magic III: The Restoration of Erathia,Russian,2023-09-13,25.0,59
BOOMBURAPA,/boomburapa,3000,98.7,25386,1953,126694,VALORANT,Thai,2015-04-23,,
fugu_fps,/fugu_fps,2913,104.5,16632,26816,354184,Apex Legends,French,2016-12-01,0.0,7027
LityGal,/litygal,3809,53.8,3841,10,10,Casino,Russian,2023-07-24,,
LCO,/lco,3468,69.9,21322,3245,50269,League of Legends,English,2021-01-27,,
SPYGEA,/spygea,3639,61.3,60772,1089,609729,PUBG: BATTLEGROUNDS,Japanese,2010-03-09,889.0,5848.0
Smurf_tv,/smurf_tv,2422,147.7,7863,2242,98079,League of Legends,Russian,2017-11-23,664.0,2225.0
Xari,/xari,2641,126.0,53814,-84,408371,Just Chatting,French,2015-04-12,2470.0,5769.0
FolagorLives,/folagorlives,3187,85.4,57813,75,1602369,Grand Theft Auto V,Spanish,2012-05-27,4511.0,15319.0
PSP1G,/psp1g,1891,219.4,6716,4455,85365,Counter-Strike,English,2015-10-14,4433.0,4915
Gosu,/gosu,2990,97.6,24325,5712,2022272,League of Legends,English,2013-03-31,134.0,1798.0
jaystreazy,/jaystreazy,1491,307.2,8371,758,111039,Just Chatting,English,2016-03-19,1824.0,6397
sabrinoca,/sabrinoca,1425,326.3,6249,2336,54818,League of Legends,Portuguese,2017-06-06,0.0,4375
マクドナルドさん,/light_starboy,3019,95.3,8743,6475,58087,Grand Theft Auto V,Japanese,2023-06-26,,
daltoosh,/daltoosh,2139,179.3,30181,1658,763457,Apex Legends,English,2018-09-19,3795.0,16744.0
소람잉,/sorammmm,4965,13.9,21042,1174,292464,League of Legends,Korean,2018-08-21,,
bysTaXx,/bystaxx,3305,76.5,269907,550,2210512,Counter-Strike,Spanish,2011-10-24,1893.0,7735.0
Flight23white,/flight23white,4567,24.7,106892,5856,2173440,NBA 2K19,English,2013-11-09,788.0,3274.0
Luxy_grlx,/luxy_grlx,5106,9.9,5987,23,785,Casino,Russian,2024-02-21,,
skain,/skain,2523,133.5,27237,3563,213741,League of Legends,Spanish,2015-11-12,1142.0,1620
LuluLuvely,/lululuvely,2622,124.2,32590,2590,1337297,Apex Legends,English,2015-06-30,3075.0,10280
Guzu,/guzu,2377,148.4,12172,1594,166303,World of Warcraft,English,2018-04-02,,
Wirtual,/wirtual,3876,48.0,27792,2638,423842,Trackmania,English,2015-05-30,2992.0,11178.0
DansGaming,/dansgaming,2260,161.3,58718,162,842271,Path of Exile,English,2009-07-15,1898.0,10642.0
deepins02,/deepins02,3579,60.6,126995,14675,1602065,Just Chatting,Russian,2016-09-25,,
けんき,/kenki521,2426,141.9,24977,6231,233712,Just Chatting,Japanese,2016-01-17,,
RaizQT,/raizqt,1461,308.9,15185,3156,202213,Path of Exile,English,2012-09-17,859.0,2239.0
Luxury_qq,/luxury_qq,5084,9.5,5176,14,792,Casino,Russian,2024-02-20,,
maumauzk_ofc,/maumauzk_ofc,4569,23.0,20226,9940,333241,Grand Theft Auto V,Portuguese,2022-05-04,,
Closer,/closer,3745,52.4,17070,3922,326624,League of Legends,Turkish,2017-06-19,,
aikobliss,/aikobliss,1578,276.6,8064,6584,135565,Just Chatting,English,2016-04-29,,
shipbroman,/shipbroman,4177,35.3,13034,18354,188471,Apex Legends,English,2016-04-10,94.0,1964
TrashTalkFr,/trashtalkfr,5018,10.8,28295,1733,99158,Sports,French,2017-03-13,290.0,995.0
Mynthos,/mynthos,2808,106.4,20056,2064,272216,The Binding of Isaac: Repentance,French,2012-02-28,965.0,3557.0
twitchmedia5,/twitchmedia5,4724,18.1,5554,0,123,Just Chatting,French,2015-04-01,,
Terablade,/terablade,2093,180.4,5128,2383,62717,Hearthstone,Russian,2017-12-06,,
Move_Mind,/move_mind,2979,93.2,23185,2750,262952,Grand Theft Auto V,Portuguese,2015-10-13,1136.0,3750.0
JohnPanio,/johnpanio,5039,9.7,47316,-163,1218260,ROBLOX,English,2017-12-20,,
Fandy,/fandy,2967,93.4,25622,11308,304797,World of Warcraft,English,2013-04-29,505.0,2896
betboom_cs_b,/betboom_cs_b,3009,90.4,54935,6031,181457,Counter-Strike,Russian,2016-04-24,,
Ray,/ray,2881,99.2,26625,902,592596,Just Chatting,English,2015-03-22,8633.0,30610.0
luchogal_10,/luchogal_10,5136,6.8,6119,11,20,Call of Duty: Warzone,English,2023-12-06,,
RMCsport,/rmcsport,2337,147.9,147297,30671,389843,Sports,French,2020-07-07,,
anny,/anny,3709,52.1,9650,5062,353349,Just Chatting,English,2014-02-08,7959.0,45572.0
ZealsAmbitions,/zealsambitions,1935,201.5,26665,1130,289240,Lost Ark,English,2012-06-07,,
しゃるる,/syaruru3,1768,230.4,17787,2436,101507,League of Legends,Japanese,2016-05-02,641.0,1263.0
DisguisedToast,/disguisedtoast,3583,57.5,62896,-1256,2839712,Hearthstone,English,2015-04-01,841.0,10882.0
shxtou,/shxtou,3384,66.8,34406,10481,1243564,Just Chatting,English,2016-03-21,,
jLcs2,/jlcs2,4860,12.7,33777,15547,96683,Counter-Strike,English,2015-10-03,,
ELoTRiX,/elotrix,2947,92.6,77178,2586,1618951,Just Chatting,German,2013-05-07,5588.0,26716.0
Luxy_grl,/luxy_grl,4952,9.9,5068,21,794,Casino,Russian,2024-02-21,,
Ravanha69,/ravanha69,739,698.0,1261,25,14919,Virtual Casino,Portuguese,2017-04-20,,
lilsimsie,/lilsimsie,3457,61.8,23436,3691,826289,The Sims 4,English,2015-12-18,4531.0,9430.0
ale_apoka,/ale_apoka,723,715.0,25412,5179,333862,Counter-Strike,Portuguese,2016-01-13,2105.0,4904.0
Sanchovies,/sanchovies,2075,176.9,15588,1889,379496,League of Legends,English,2016-02-13,2977.0,4868.0
SkipNhO,/skipnho,2681,111.7,54389,-104,1283046,PUBG: BATTLEGROUNDS,Portuguese,2014-06-03,636.0,2779.0
OskarWesterlin,/oskarwesterlin,2487,128.5,13976,9147,84980,Call of Duty: Warzone,Norwegian,2020-06-05,6782.0,15690.0
Thijs,/thijs,2718,108.0,44931,-331,793568,Hearthstone,English,2014-02-17,622.0,2051.0
poderosobagual,/poderosobagual,2192,160.5,21404,14470,407545,Grand Theft Auto V,Portuguese,2022-04-17,,
Zerost_s,/zerost_s,2086,174.0,10717,4663,94915,League of Legends,Japanese,2015-05-01,,
chibidoki,/chibidoki,2445,132.0,7789,35284,398723,Just Chatting,English,2021-01-07,,
FRG_FFS,/frg_ffs,4930,9.5,5060,2,778,Casino,Russian,2024-02-19,,
HaiseT,/haiset,2454,130.9,7993,3876,117095,Just Chatting,Czech,2012-10-13,1429.0,3201.0
KarmineCorp,/karminecorp,4789,12.8,20406,10550,63896,Teamfight Tactics,French,2020-11-16,,
bbreadman,/bbreadman,2110,169.9,6875,4137,174109,Call of Duty: Warzone,English,2018-01-08,3663.0,8247.0
PrimeLeague,/primeleague,2240,153.6,78016,1079,214239,League of Legends,German,2019-09-19,,
TomateKing,/tomateking,2848,96.8,40012,2656,174202,Grand Theft Auto V,Spanish,2018-07-02,2235.0,4290
SypherPK,/sypherpk,2842,97.2,151092,23765,6832707,Fortnite,English,2012-07-14,1799.0,24297.0
綠茶,/greentea,1653,246.3,3770,1000,141493,Teamfight Tactics,Chinese,2012-04-05,,
jukes,/jukes,3647,50.8,34974,2398,1833200,League of Legends,Portuguese,2014-12-14,611.0,4269.0
DivaJilly,/divajilly,1204,379.3,10310,14131,46866,Grand Theft Auto V,English,2012-07-25,,
Frodan,/frodan,2186,158.7,11226,4784,92504,Teamfight Tactics,English,2010-07-07,,
TheJRM_,/thejrm_,2514,123.2,6753,5221,394149,Dead by Daylight,English,2019-01-25,1598.0,4137.0
twitchmedia50,/twitchmedia50,4503,19.4,4880,0,122,Hearthstone,English,2016-05-20,,
けっつん,/kettuncyukyuhei,1768,221.1,16680,3015,40585,Grand Theft Auto V,Japanese,2014-09-25,,
Chavo8TV,/chavo8tv,706,720.3,1398,13430,102620,El Chavo,Spanish,2023-07-11,,
casinomomoreis,/casinomomoreis,3668,48.9,6822,7830,83736,Casino Jackpot,Turkish,2023-06-20,,
akyuliych,/akyuliych,4746,12.5,20979,17135,902186,Just Chatting,Russian,2018-09-30,10.0,448.0
absoluttlol,/absoluttlol,2015,178.7,11471,1342,153982,League of Legends,Portuguese,2015-10-26,,
carolinekwan,/carolinekwan,2524,120.2,32454,5822,111688,Just Chatting,English,2019-11-06,0.0,5622
CALCIOBERLIN,/calcioberlin,4493,18.7,13207,2202,87254,Sports,German,2021-11-26,,
CreamTheRabbit,/creamtherabbit,3836,40.9,5896,45,1012840,ROBLOX,English,2021-12-16,,
白波らむね,/ramuneshiranami,2338,137.7,7726,6600,154886,VALORANT,Japanese,2022-12-19,,
kristinadaniellexo,/kristinadaniellexo,2127,162.3,3580,3718,255444,ASMR,English,2017-04-08,,
たここちゃん,/takoko_vtuber,1788,214.1,17518,6591,109413,Grand Theft Auto V,Japanese,2021-08-11,,
MauriceWeber,/mauriceweber,2585,113.2,11781,4685,117637,Just Chatting,German,2013-10-03,,
Bugha,/bugha,3261,66.5,84747,29114,5491905,Fortnite,English,2015-02-13,1025.0,4874.0
GuDDummit,/guddummit,2213,150.4,8057,1766,72733,Hearthstone,Russian,2017-06-10,106.0,1449.0
Rakyz,/rakyz,2877,89.9,10488,1479,197747,League of Legends,Spanish,2014-01-04,1576.0,2209.0
influesii753,/influesii753,4748,10.6,22729,5334,248305,Just Chatting,Russian,2020-08-21,,
Calebhart42,/calebhart42,1995,178.3,18309,903,212368,FINAL FANTASY VII,English,2011-02-16,1539.0,6497.0
RoyalPhunk,/royalphunk,2509,119.0,23104,1207,277010,Just Chatting,German,2011-03-31,2539.0,8332.0
AlinaRinRin,/alinarinrin,3442,56.6,28384,9662,363792,Just Chatting,Russian,2016-01-27,50.0,2557.0
MokrySuchar,/mokrysuchar,2511,118.0,20142,3059,208252,Just Chatting,Polish,2015-05-19,240.0,618.0
DeraJN,/derajn,2254,143.7,12115,1771,70555,Marvel Snap,English,2010-06-05,1094.0,3902
Ilytog,/ilytog,2313,137.2,2992,61,61,Casino,Turkish,2023-07-24,,
Carpentieri,/carpentieri,2390,129.1,6571,5314,143011,FIFA 23,Portuguese,2019-03-06,,
Werlyb,/werlyb,2951,83.2,76653,1849,778642,League of Legends,Spanish,2012-05-07,1575.0,8017.0
superjj102,/superjj102,2309,137.1,10973,416,164096,Hearthstone,English,2014-03-07,865.0,6848.0
paradeev1ch,/paradeev1ch,4874,6.5,81966,3791,1780344,Just Chatting,Russian,2020-04-16,4.0,2628.0
冠緯,/guanweiboy,3113,72.6,34791,507,130423,League of Legends,Chinese,2017-03-20,1427.0,7248.0
FarfadoxVEVO,/farfadoxvevo,3244,65.1,80328,9043,1606980,Minecraft,Spanish,2018-05-20,1575.0,4751.0
evaanna,/evaanna,2613,107.5,39110,3941,739556,Just Chatting,English,2016-07-29,36.0,958.0
MenosTrece,/menostrece,2567,111.3,47821,3023,1200739,Dead by Daylight,Spanish,2015-03-20,2080.0,6717.0
xChocoBars,/xchocobars,2031,170.0,60017,3199,984883,League of Legends,English,2013-04-18,1581.0,2661.0
LuxuryGirl_STRM,/luxurygirl_strm,4577,13.5,4684,29,806,Casino,Russian,2024-03-03,,
MasterSnakou,/mastersnakou,2863,88.0,19278,2388,641241,Just Chatting,French,2013-04-06,4435.0,14543.0
KarmikKoala,/karmikkoala,2073,163.8,10744,2452,212441,DARK SOULS III,Russian,2014-01-10,1848.0,11447.0
たいじ_たいちゃんねる,/yaritaiji,4546,14.2,12788,970,39169,Street Fighter 6,Japanese,2015-09-20,,
llunaclark,/llunaclark,3349,58.8,10741,13434,388242,Just Chatting,Spanish,2017-09-21,,
HappyHappyGal,/happyhappygal,1979,176.3,6922,16287,106167,Fortnite,English,2021-03-11,,
Moonryde,/moonryde,1988,174.9,77473,2193,659363,Call of Duty: Warzone,Italian,2013-08-27,7882.0,52072.0
AlphaKep,/alphakep,2226,143.7,6016,7805,237365,Rocket League,English,2016-02-16,0.0,4862
KeshaEuw,/keshaeuw,3076,73.3,9174,12602,483147,League of Legends,English,2018-02-24,,
jessirocks,/jessirocks,2324,132.6,71675,1925,220735,Diablo III,German,2015-04-05,1968.0,42452.0
FifaTargrean,/fifatargrean,1732,215.6,14433,973,505151,Just Chatting,Thai,2016-09-05,2385.0,4446.0
FRG_gj,/frg_gj,4649,10.6,4697,7,1280,Casino,Russian,2024-03-01,,
F1NN5TER,/f1nn5ter,4608,11.7,16358,2703,728382,Just Chatting,English,2018-10-19,1222.0,4968.0
Rainbow6FR,/rainbow6fr,2517,113.0,15847,2825,191129,Tom Clancy's Rainbow Six Siege,French,2018-06-18,,
diegogelio_,/diegogelio_,4217,22.6,20144,7169,78642,Just Chatting,Portuguese,2022-07-19,,
QuarterJade,/quarterjade,3577,46.2,45305,1479,1143056,VALORANT,English,2017-09-11,1378.0,5157.0
ta1yo_tv,/ta1yo_tv,2657,100.6,30960,4668,268736,Overwatch,Japanese,2016-12-24,896.0,1961.0
Cinna,/cinna,3126,68.7,17187,6327,140219,Just Chatting,English,2018-03-11,,
elwycco,/elwycco,3309,58.7,13692,763,238267,Just Chatting,Russian,2015-06-30,3031.0,7002.0
jimbofnt,/jimbofnt,2900,82.6,6050,-956,5891,Fortnite,English,2023-09-18,,
HitboTC,/hitbotc,1850,192.4,15810,3723,159903,Sea of Thieves,English,2017-06-07,,
Trey24k,/trey24k,1846,192.9,33588,2610,220652,Escape from Tarkov,English,2016-03-23,1787.0,7568.0
QAVIVI,/qavivi,1959,175.3,3690,64,18360,Dota 2,Russian,2023-02-17,,
sweetdreams,/sweetdreams,3501,48.7,35754,-494,833456,Apex Legends,English,2017-01-03,1244.0,10589.0
emilyywang,/emilyywang,2677,97.8,16453,2079,220805,Teamfight Tactics,English,2012-10-02,,
Dekkster,/dekkster,2513,110.9,30261,1163,125961,Hearthstone,English,2012-07-29,,
yamatosdeath,/yamatosdeath,2536,108.5,17044,3293,240193,League of Legends,English,2018-01-04,,
台北建東,/jd_onlymusic,2689,96.0,16130,330,45949,Just Chatting,Chinese,2021-06-28,,
踢虧,/takesipon,2148,148.1,18587,767,127306,Dead by Daylight,Chinese,2011-05-25,1520.0,4651.0
LaAgusneta,/laagusneta,2036,162.2,14684,11858,301976,Just Chatting,Spanish,2017-03-04,,
lucasjack89,/lucasjack89,3130,66.6,12624,8094,72965,League of Legends,Spanish,2018-08-24,,
是喬希啊,/josie5297,2930,78.4,19427,6285,106111,Just Chatting,Chinese,2022-10-08,,
1wron3k,/1wron3k,2807,86.4,12484,33651,194051,Just Chatting,Polish,2021-03-29,0.0,1699
kukudota2,/kukudota2,1768,202.3,14472,3513,55488,Dota 2,English,2017-05-29,,
scormal,/scormal,4682,7.2,5164,1,71,Variety,English,2015-11-23,,
BUXEXA_AO_VIVO,/buxexa_ao_vivo,2011,164.2,2077,830,1786,Slots,Portuguese,2024-02-26,,
nihmune,/nihmune,3745,36.8,10781,4479,308597,Just Chatting,English,2021-02-14,2840.0,17120.0
Agustabell212,/agustabell212,2252,134.5,33230,359,237333,Rust,Spanish,2016-02-04,1825.0,3718.0
アマル,/amal_3rd,1831,190.6,12643,2056,55154,Grand Theft Auto V,Japanese,2019-06-05,,
SlotHustla,/slothustla,1489,259.8,1711,12346,20134,Slots,English,2023-07-22,,
JapaneseKoreanUG,/japanesekoreanug,2084,153.9,22020,4610,132910,League of Legends,Japanese,2015-06-13,,
Saintone,/saintone,1265,324.8,18434,-249,157561,Lost Ark,English,2013-09-10,,
Juice,/juice,1795,196.0,8350,1248,116511,Just Chatting,Russian,2014-07-01,181.0,5069
Luxry_Fly,/luxry_fly,4660,7.1,4672,15,786,Casino,Russian,2024-03-02,,
TFBlade,/tfblade,2200,139.0,53026,-2268,1245433,League of Legends,English,2014-03-21,585.0,6242.0
JakuLak,/jakulak,4005,26.2,6353,3,3,Casino,Russian,2023-07-24,,
ravusssss,/ravusssss,2035,159.0,27437,8494,207491,FIFA 21,French,2019-04-27,,
恭一郎,/dmf_kyochan,1429,273.2,17821,1489,289992,Apex Legends,Japanese,2017-07-19,967.0,1111.0
FRGxy,/frgxy,4630,7.3,4744,2,778,Casino,Russian,2024-03-02,,
ibrahimtv_2434,/ibrahimtv_2434,3854,31.0,11426,5111,92605,League of Legends,Japanese,2023-03-03,,
Eyou_TV,/eyou_tv,4530,9.5,10727,2837,55264,Just Chatting,Spanish,2020-10-23,,
MST3K,/mst3k,658,717.6,19785,425,92984,Mystery Science Theater 3000,English,2015-10-30,,
OpytAju,/opytaju,3399,49.3,3999,2,2,Casino,Russian,2023-07-24,,
kyo1984123,/kyo1984123,1449,264.7,12609,-689,167795,Just Chatting,Chinese,2016-03-23,709.0,1974.0
Vovapain,/vovapain,2703,90.4,17182,4859,233598,Dota 2,Russian,2013-01-05,,
elyihi,/elyihi,2608,97.5,8060,879,69545,Sports,Spanish,2020-09-04,,
梓澪與村長,/s201111,3045,67.5,8465,12895,228305,Just Chatting,Cantonese,2020-12-14,,
twitchmedia28,/twitchmedia28,4360,13.3,5192,7,428,Fortnite,English,2016-05-20,,
Trebor,/trebor,3801,31.5,11202,24529,459715,Brawl Stars,Spanish,2020-05-29,,
nacho_dayo,/nacho_dayo,3042,67.0,11895,5307,383312,VALORANT,Japanese,2018-01-11,,
